-0.214347
Printing tensor VKLJ04
[0][0][0][0](0, <4.51937E-01>)
[1][0][0][0](1, <-2.76114E-03>)
[2][0][0][0](2, <-3.60431E-16>)
[3][0][0][0](3, <7.81590E-03>)
[4][0][0][0](4, <-7.87124E-18>)
[0][1][0][0](5, <-3.26634E-15>)
[1][1][0][0](6, <4.20940E-17>)
[2][1][0][0](7, <4.84466E-03>)
[3][1][0][0](8, <1.49118E-16>)
[4][1][0][0](9, <-1.47487E-17>)
[0][2][0][0](10, <3.24868E-14>)
[1][2][0][0](11, <-4.88956E-16>)
[2][2][0][0](12, <1.54781E-03>)
[3][2][0][0](13, <1.45144E-15>)
[4][2][0][0](14, <-1.72427E-18>)
[0][3][0][0](15, <-1.86394E-01>)
[1][3][0][0](16, <2.74642E-03>)
[2][3][0][0](17, <1.79339E-16>)
[3][3][0][0](18, <-6.42755E-03>)
[4][3][0][0](19, <3.46534E-17>)
[0][4][0][0](20, <1.28818E-01>)
[1][4][0][0](21, <-2.74432E-03>)
[2][4][0][0](22, <-5.09234E-16>)
[3][4][0][0](23, <5.35433E-03>)
[4][4][0][0](24, <1.21053E-15>)
[0][5][0][0](25, <1.74621E-14>)
[1][5][0][0](26, <-3.71385E-16>)
[2][5][0][0](27, <1.30575E-16>)
[3][5][0][0](28, <7.24685E-16>)
[4][5][0][0](29, <-8.56407E-03>)
[0][6][0][0](30, <5.73838E-15>)
[1][6][0][0](31, <-1.68809E-16>)
[2][6][0][0](32, <-6.63254E-03>)
[3][6][0][0](33, <9.55017E-17>)
[4][6][0][0](34, <-2.09367E-16>)
[0][7][0][0](35, <3.62297E-16>)
[1][7][0][0](36, <-7.26123E-18>)
[2][7][0][0](37, <-2.14052E-18>)
[3][7][0][0](38, <-9.00536E-18>)
[4][7][0][0](39, <-1.41710E-16>)
[0][8][0][0](40, <-3.55107E-02>)
[1][8][0][0](41, <9.56197E-04>)
[2][8][0][0](42, <3.42802E-16>)
[3][8][0][0](43, <8.05379E-04>)
[4][8][0][0](44, <-2.77661E-17>)
[0][9][0][0](45, <-6.84352E-16>)
[1][9][0][0](46, <1.70893E-17>)
[2][9][0][0](47, <-2.03123E-17>)
[3][9][0][0](48, <-1.88947E-17>)
[4][9][0][0](49, <-2.79963E-03>)
[0][10][0][0](50, <4.62501E-16>)
[1][10][0][0](51, <-1.45469E-17>)
[2][10][0][0](52, <6.71468E-04>)
[3][10][0][0](53, <5.43625E-17>)
[4][10][0][0](54, <6.32811E-17>)
[0][11][0][0](55, <-1.85074E-01>)
[1][11][0][0](56, <4.75549E-03>)
[2][11][0][0](57, <6.93359E-19>)
[3][11][0][0](58, <-8.75450E-03>)
[4][11][0][0](59, <3.94688E-17>)
[0][12][0][0](60, <-2.48650E-14>)
[1][12][0][0](61, <6.69467E-16>)
[2][12][0][0](62, <5.34505E-04>)
[3][12][0][0](63, <-6.07326E-16>)
[4][12][0][0](64, <1.39678E-17>)
[0][13][0][0](65, <1.26384E-01>)
[1][13][0][0](66, <-3.76846E-03>)
[2][13][0][0](67, <1.04613E-16>)
[3][13][0][0](68, <4.04544E-03>)
[4][13][0][0](69, <-8.80664E-18>)
[0][14][0][0](70, <-3.14885E-16>)
[1][14][0][0](71, <1.05852E-17>)
[2][14][0][0](72, <-5.07564E-17>)
[3][14][0][0](73, <4.57320E-18>)
[4][14][0][0](74, <-8.17352E-03>)
[0][15][0][0](75, <-3.42986E-17>)
[1][15][0][0](76, <2.90288E-18>)
[2][15][0][0](77, <1.65044E-17>)
[3][15][0][0](78, <9.42677E-18>)
[4][15][0][0](79, <6.76780E-16>)
[0][16][0][0](80, <-7.41413E-03>)
[1][16][0][0](81, <1.27634E-03>)
[2][16][0][0](82, <3.55022E-16>)
[3][16][0][0](83, <7.41545E-03>)
[4][16][0][0](84, <2.51908E-17>)
[0][17][0][0](85, <-1.36504E-02>)
[1][17][0][0](86, <6.99469E-04>)
[2][17][0][0](87, <6.14614E-16>)
[3][17][0][0](88, <-2.34539E-03>)
[4][17][0][0](89, <-2.09822E-17>)
[0][18][0][0](90, <-1.91160E-15>)
[1][18][0][0](91, <3.46403E-17>)
[2][18][0][0](92, <6.76846E-03>)
[3][18][0][0](93, <-4.55216E-16>)
[4][18][0][0](94, <-4.89331E-17>)
[0][0][1][0](95, <-2.76114E-03>)
[1][0][1][0](96, <3.87267E-01>)
[2][0][1][0](97, <-3.07141E-15>)
[3][0][1][0](98, <3.13374E-02>)
[4][0][1][0](99, <8.70635E-19>)
[0][1][1][0](100, <4.20940E-17>)
[1][1][1][0](101, <-1.20072E-15>)
